,hh_id,maz,walk_subzone,income,autos,jtf_choice,size,workers,auto_suff
18394,2723576,3208,0,59200,2,1,3,2,cars>=wkrs
18395,3281245,3208,0,157200,2,1,3,2,cars>=wkrs
18396,2859538,3208,0,90000,2,1,4,2,cars>=wkrs
18398,814520,3211,0,32800,1,-2,1,1,cars>=wkrs
18399,3036105,3211,0,55200,2,1,3,0,cars>=wkrs
18400,927017,3211,0,48000,1,-2,1,1,cars>=wkrs
18401,814509,3211,0,25000,1,-2,1,1,cars>=wkrs
18402,2907254,3211,0,101000,2,1,5,2,cars>=wkrs
18403,1171003,3211,0,123200,1,-2,1,1,cars>=wkrs
18404,1770387,3212,0,80000,2,1,2,1,cars>=wkrs
18405,2308668,3212,0,122720,2,1,2,2,cars>=wkrs
18406,1446441,3212,0,52800,1,2,2,0,cars>=wkrs
18407,3460391,3213,0,73550,2,1,3,3,cars<wkrs
18408,3414686,3213,0,129560,3,-3,3,3,cars>=wkrs
18409,3231174,3213,0,60700,1,1,4,1,cars>=wkrs
18410,1446459,3213,0,73300,3,1,2,0,cars>=wkrs
18411,3559915,3213,0,108200,2,1,4,3,cars<wkrs
18412,2191654,3214,0,34300,3,1,2,2,cars>=wkrs
18413,2282964,3214,0,66000,3,1,2,2,cars>=wkrs
18414,1530310,3214,0,45500,2,1,3,0,cars>=wkrs
18415,2627661,3214,0,58000,2,1,3,2,cars>=wkrs
18416,2026894,3214,0,37600,4,1,4,1,cars>=wkrs
18417,2915310,3214,0,48660,2,1,5,2,cars>=wkrs
18418,3569339,3215,0,21000,3,1,4,3,cars>=wkrs
18419,2907259,3215,0,148540,2,-3,5,2,cars>=wkrs
18420,1366084,3216,0,53100,1,1,2,0,cars>=wkrs
18421,3231181,3217,0,50000,1,1,4,1,cars>=wkrs
18422,1847564,3217,0,114020,2,1,2,1,cars>=wkrs
18423,1384714,3217,0,99500,1,1,2,0,cars>=wkrs
18424,814591,3218,0,38000,1,-2,1,1,cars>=wkrs
18425,1813165,3219,0,50500,3,-3,2,1,cars>=wkrs
18426,1216472,3219,0,22200,1,1,3,1,cars>=wkrs
18427,3426354,3220,0,41000,3,1,3,3,cars>=wkrs
18428,1938411,3220,0,112950,2,1,3,1,cars>=wkrs
18429,1901448,3220,0,45000,1,1,3,1,cars>=wkrs
18430,3749674,3221,0,165000,1,1,4,0,cars>=wkrs
18431,3553893,3221,0,69000,2,1,4,3,cars<wkrs
18432,3169600,3222,0,127000,2,1,3,1,cars>=wkrs
18433,3231197,3222,0,50000,1,1,4,1,cars>=wkrs
18434,3296554,3222,0,100530,2,1,3,2,cars>=wkrs
18435,2554766,3222,0,246400,2,1,2,2,cars>=wkrs
18436,1697618,3223,0,72000,3,1,2,1,cars>=wkrs
18437,1171018,3223,0,123200,1,-2,1,1,cars>=wkrs
18438,814626,3223,0,36300,3,-2,1,1,cars>=wkrs
18439,1908975,3223,0,71000,4,1,3,1,cars>=wkrs
18440,814645,3223,0,41100,1,-2,1,1,cars>=wkrs
18441,3281257,3223,0,102200,2,1,3,2,cars>=wkrs
18442,2062639,3224,0,32000,1,-3,5,1,cars>=wkrs
18443,3145765,3224,0,34700,3,1,3,1,cars>=wkrs
18444,2544119,3225,0,62000,2,1,2,2,cars>=wkrs
18445,2892815,3225,0,83000,2,1,6,2,cars>=wkrs
18446,3251098,3225,0,43000,1,1,4,1,cars>=wkrs
18447,3904797,3225,0,163580,3,1,4,4,cars<wkrs
18448,1541122,3226,0,73500,3,1,3,0,cars>=wkrs
18449,3709334,3226,0,66500,3,1,4,0,cars>=wkrs
18450,2401971,3237,0,60000,4,-3,2,2,cars>=wkrs
18451,2750374,3237,0,102300,1,1,3,2,cars<wkrs
18452,3613390,3237,0,73700,3,1,5,3,cars>=wkrs
18453,248931,3237,0,22800,1,1,6,0,cars>=wkrs
18454,814691,3237,0,35000,1,-2,1,1,cars>=wkrs
18455,3289187,3238,0,35500,4,1,3,2,cars>=wkrs
18456,1209851,3238,0,80000,1,-2,1,1,cars>=wkrs
18457,1892572,3238,0,15000,2,1,3,1,cars>=wkrs
18458,998047,3238,0,105350,1,-2,1,1,cars>=wkrs
18459,2884971,3238,0,36000,3,1,5,2,cars>=wkrs
18460,465852,3238,0,15500,1,-2,1,1,cars>=wkrs
18461,681417,3238,0,23000,1,-2,1,1,cars>=wkrs
18462,625752,3238,0,81000,1,-2,1,1,cars>=wkrs
18463,293549,3239,0,17100,1,-2,1,1,cars>=wkrs
18464,1555934,3239,0,81000,1,1,3,0,cars>=wkrs
18465,3220738,3239,0,20800,2,1,4,1,cars>=wkrs
18466,3667526,3239,0,20560,1,1,4,0,cars>=wkrs
18467,1516476,3239,0,44500,1,1,3,0,cars>=wkrs
18468,1171043,3239,0,110000,3,-2,1,1,cars>=wkrs
18469,3313273,3240,0,36800,3,1,4,2,cars>=wkrs
18470,2955795,3240,0,44200,3,1,3,0,cars>=wkrs
18471,3476399,3242,0,111000,1,1,3,3,cars<wkrs
18472,3769416,3242,0,121000,2,1,7,0,cars>=wkrs
18473,3879186,3242,0,32730,1,-3,4,3,cars<wkrs
18474,1426245,3242,0,36700,2,1,2,0,cars>=wkrs
18475,57236,3243,0,2500,1,-2,1,0,cars>=wkrs
18476,998128,3243,0,98250,2,-2,1,1,cars>=wkrs
18477,814906,3243,0,39500,1,-2,1,1,cars>=wkrs
18478,43503,3243,0,55900,1,-2,1,0,cars>=wkrs
18479,465912,3243,0,20500,1,-2,1,1,cars>=wkrs
18480,814921,3244,0,42000,1,-2,1,1,cars>=wkrs
18481,2253313,3244,0,42000,2,1,2,2,cars>=wkrs
18482,1647272,3244,0,56900,2,1,2,1,cars>=wkrs
18483,1137110,3245,0,39700,1,-2,1,1,cars>=wkrs
18484,1343515,3246,0,30800,2,-3,2,0,cars>=wkrs
18485,3289206,3247,0,35500,1,1,3,2,cars<wkrs
18487,2619299,3247,0,23230,2,1,3,2,cars>=wkrs
18488,3057543,3248,0,4800,2,1,4,0,cars>=wkrs
18489,1892601,3248,0,20000,0,-3,3,1,nocars
18490,217298,3248,0,15100,1,1,4,0,cars>=wkrs
18491,3667593,3248,0,20560,2,1,4,0,cars>=wkrs
18492,3138769,3248,0,39830,2,1,3,1,cars>=wkrs
18493,83733,3249,0,17800,1,-2,1,0,cars>=wkrs
18494,465945,3251,0,12000,1,-2,1,1,cars>=wkrs
18495,3667605,3251,0,20560,0,1,4,0,nocars
18496,555208,3251,0,34000,1,-2,1,1,cars>=wkrs
18497,3036138,3251,0,48400,1,1,3,0,cars>=wkrs
18498,3667607,3251,0,20560,3,1,4,0,cars>=wkrs
18499,3108372,3251,0,52900,2,6,4,0,cars>=wkrs
18501,1426292,3252,0,26400,1,1,2,0,cars>=wkrs
18502,3211907,3254,0,24900,2,1,4,1,cars>=wkrs
18503,2168202,3259,0,16000,2,1,2,2,cars>=wkrs
18504,1706390,3259,0,11400,1,1,2,1,cars>=wkrs
18505,3769440,3259,0,121000,2,1,7,0,cars>=wkrs
18506,1483002,3259,0,40600,2,1,2,0,cars>=wkrs
18507,1300032,3259,0,37800,0,1,2,0,nocars
18508,814965,3259,0,40000,1,-2,1,1,cars>=wkrs
18509,2666918,3260,0,61600,2,1,3,2,cars>=wkrs
18510,3812313,3260,0,69700,2,1,4,2,cars>=wkrs
18511,3769454,3263,0,121000,3,1,7,0,cars>=wkrs
18512,3805777,3263,0,26900,3,1,9,1,cars>=wkrs
18513,1837963,3263,0,27200,1,1,2,1,cars>=wkrs
18514,3904877,3263,0,149800,2,1,6,5,cars<wkrs
18515,555268,3263,0,38110,4,-2,1,1,cars>=wkrs
18516,3330398,3263,0,33600,3,1,4,2,cars>=wkrs
18517,3609445,3264,0,23200,4,1,5,3,cars>=wkrs
18518,1426312,3265,0,26800,2,1,2,0,cars>=wkrs
18519,2902041,3265,0,58010,3,1,5,2,cars>=wkrs
18520,1310874,3265,0,14500,0,1,2,0,nocars
18521,3476504,3266,0,117000,2,1,3,3,cars<wkrs
18522,2592648,3266,0,39004,1,1,3,2,cars<wkrs
18523,681625,3266,0,22200,1,-2,1,1,cars>=wkrs
18524,2191824,3266,0,41000,2,1,2,2,cars>=wkrs
18525,3904924,3266,0,151370,2,1,4,4,cars<wkrs
18526,2666929,3266,0,57600,2,1,3,2,cars>=wkrs
18527,681634,3266,0,21600,1,-2,1,1,cars>=wkrs
18528,2512237,3266,0,46200,4,1,2,2,cars>=wkrs
18529,1961710,3266,0,59500,1,1,3,1,cars>=wkrs
18530,3609463,3266,0,23200,2,1,5,3,cars<wkrs
18531,2191829,3266,0,25300,3,-3,2,2,cars>=wkrs
18532,681631,3266,0,13000,1,-2,1,1,cars>=wkrs
18533,3869353,3266,0,100650,4,1,4,4,cars>=wkrs
18534,3289225,3267,0,35500,2,1,3,2,cars>=wkrs
18535,2283042,3267,0,52000,2,1,2,2,cars>=wkrs
18536,1038751,3267,0,11400,1,-2,1,1,cars>=wkrs
18537,555335,3267,0,30500,1,-2,1,1,cars>=wkrs
18538,1384733,3267,0,98400,3,1,2,0,cars>=wkrs
18539,1770480,3267,0,79000,3,-3,2,1,cars>=wkrs
18540,249126,3267,0,22800,1,1,6,0,cars>=wkrs
18541,2191840,3268,0,24870,2,-3,2,2,cars>=wkrs
18542,1892618,3268,0,15000,1,1,3,1,cars>=wkrs
18543,1662061,3269,0,10600,0,-3,2,1,nocars
18544,2592659,3270,0,39004,1,1,3,2,cars<wkrs
18545,681685,3270,0,12000,1,-2,1,1,cars>=wkrs
18546,998173,3270,0,100000,1,-2,1,1,cars>=wkrs
