,hh_id,maz,walk_subzone,income,autos,jtf_choice,size,workers,auto_suff
8,3361442,2,0,195000,0,1,3,3,nocars
14,324050,2,0,0,1,-2,1,1,cars>=wkrs
19,747013,2,0,32000,1,-2,1,1,cars>=wkrs
25,3259164,3,0,110000,2,1,3,2,cars>=wkrs
32,3085537,4,0,58000,1,1,4,0,cars>=wkrs
58,1591352,4,0,78000,1,-3,2,1,cars>=wkrs
61,894034,5,0,49000,1,-2,1,1,cars>=wkrs
68,3085558,5,0,58000,1,1,4,0,cars>=wkrs
72,3149523,5,0,272500,2,1,3,1,cars>=wkrs
80,2205470,6,0,51000,0,1,2,2,nocars
105,2918351,7,0,54200,1,1,3,0,cars>=wkrs
111,1970011,7,0,713000,2,1,3,1,cars>=wkrs
115,1026247,7,0,20000,0,-2,1,1,nocars
116,747544,7,0,30000,1,-2,1,1,cars>=wkrs
124,3266265,7,0,339300,4,1,3,2,cars>=wkrs
130,76,7,0,6000,0,-2,1,0,nocars
131,2148681,7,0,69000,3,1,2,2,cars>=wkrs
140,2788534,8,0,148000,2,1,3,2,cars>=wkrs
147,3404396,9,0,68600,1,1,3,3,cars<wkrs
154,1026261,10,0,7300,1,-2,1,1,cars>=wkrs
167,1519993,12,0,86000,0,-3,3,0,nocars
183,3378616,13,0,79000,2,1,3,3,cars<wkrs
186,2215888,13,0,348000,1,1,2,2,cars<wkrs
188,3085624,13,0,58000,0,1,4,0,nocars
193,630239,14,0,6700,0,-2,1,1,nocars
196,1514365,14,0,44100,1,1,3,0,cars>=wkrs
197,2215957,14,0,160600,2,1,2,2,cars>=wkrs
201,2737990,14,0,127400,1,1,3,2,cars<wkrs
216,508541,15,0,35200,0,-2,1,1,nocars
228,54166,17,0,139000,0,-2,1,0,nocars
233,748238,17,0,45300,1,-2,1,1,cars>=wkrs
242,1307162,19,0,137000,1,1,2,0,cars>=wkrs
245,2788552,19,0,462000,2,1,3,2,cars>=wkrs
247,3189660,19,0,152800,2,1,3,1,cars>=wkrs
248,748338,19,0,30000,1,-2,1,1,cars>=wkrs
250,403538,19,0,201000,1,-2,1,1,cars>=wkrs
253,2205548,19,0,52000,2,1,2,2,cars>=wkrs
255,2912861,19,0,45600,0,1,6,2,nocars
272,3769898,19,0,34500,0,1,10,0,nocars
313,748636,25,0,32000,0,-2,1,1,nocars
322,2601680,25,0,80500,0,1,3,2,nocars
324,370225,25,0,44000,0,-2,1,1,nocars
326,3277158,25,0,63000,2,-3,3,2,cars>=wkrs
329,50462,25,0,35000,0,-2,1,0,nocars
339,3168493,25,0,92000,1,1,3,1,cars>=wkrs
340,1514390,25,0,44100,0,1,3,0,nocars
343,1591444,25,0,159400,2,1,2,1,cars>=wkrs
352,2929468,25,0,44700,1,1,3,0,cars>=wkrs
353,2918496,25,0,54200,1,1,3,0,cars>=wkrs
358,3294823,25,0,115180,0,1,3,2,nocars
362,3355205,26,0,23400,1,-3,3,3,cars<wkrs
381,271839,27,0,7200,0,-2,1,1,nocars
384,894584,27,0,45700,1,-2,1,1,cars>=wkrs
386,2500246,27,0,36300,0,1,2,2,nocars
388,271888,27,0,12200,0,-2,1,1,nocars
400,2216470,33,0,372500,0,1,2,2,nocars
403,233,33,0,6000,0,-2,1,0,nocars
412,2601709,35,0,84700,2,1,3,2,cars>=wkrs
429,370512,39,0,33000,0,-2,1,1,nocars
431,2098873,39,0,47300,2,1,2,2,cars>=wkrs
435,300931,39,0,35000,1,-2,1,1,cars>=wkrs
436,2172465,39,0,40000,0,1,2,2,nocars
448,3341690,40,0,5200,0,1,3,3,nocars
453,2172469,40,0,36110,2,1,2,2,cars>=wkrs
456,94691,40,0,41000,0,-2,1,0,nocars
470,2603577,46,0,12600,0,1,3,2,nocars
480,2117551,47,0,117000,2,1,2,2,cars>=wkrs
483,630944,47,0,830,0,-2,1,1,nocars
484,272264,47,0,4600,0,-2,1,1,nocars
486,30997,47,0,41500,0,-2,1,0,nocars
493,3630667,47,0,3600,0,-3,4,0,nocars
498,3344464,48,0,62220,0,1,3,3,nocars
500,3866288,48,0,99200,0,1,4,4,nocars
502,1886782,48,0,192000,1,1,3,1,cars>=wkrs
505,2805717,48,0,87200,0,1,4,2,nocars
508,2788585,48,0,89700,1,-3,3,2,cars<wkrs
513,2060334,48,0,130000,0,1,5,1,nocars
519,617831,49,0,97000,1,-2,1,1,cars>=wkrs
534,3085797,50,0,58000,0,1,4,0,nocars
555,186611,50,0,0,0,1,9,0,nocars
558,510481,51,0,40100,0,-2,1,1,nocars
565,3085949,51,0,58000,0,1,4,0,nocars
567,301574,51,0,30000,0,-2,1,1,nocars
568,2216867,51,0,90000,1,1,2,2,cars<wkrs
570,2100836,51,0,208500,2,1,2,2,cars>=wkrs
572,1562323,51,0,41800,0,1,4,0,nocars
576,1695718,51,0,46700,1,1,2,1,cars>=wkrs
579,2156249,51,0,139050,1,1,2,2,cars<wkrs
592,1354645,51,0,75190,0,1,2,0,nocars
605,2577542,51,0,45000,0,1,3,2,nocars
606,3085947,51,0,58000,1,1,4,0,cars>=wkrs
612,617861,51,0,97600,1,-2,1,1,cars>=wkrs
613,3085836,51,0,58000,0,1,4,0,nocars
614,1607257,51,0,65000,1,1,2,1,cars>=wkrs
624,3086023,52,0,58000,1,1,4,0,cars>=wkrs
630,2569841,52,0,623300,1,1,2,2,cars<wkrs
633,2205672,52,0,51700,0,-3,2,2,nocars
635,327817,52,0,12000,1,-2,1,1,cars>=wkrs
638,750064,52,0,37000,0,-2,1,1,nocars
639,1307207,52,0,137000,0,1,2,0,nocars
641,963600,52,0,123000,3,-2,1,1,cars>=wkrs
653,2100859,52,0,95600,0,1,2,2,nocars
656,2115863,53,0,54300,1,1,2,2,cars<wkrs
663,2625314,53,0,58100,0,1,3,2,nocars
666,3164693,53,0,70660,0,1,3,1,nocars
670,3386065,53,0,122800,2,1,3,3,cars<wkrs
678,1058756,54,0,40900,1,-2,1,1,cars>=wkrs
680,2105895,55,0,41000,0,1,2,2,nocars
685,2629531,55,0,80000,2,1,3,2,cars>=wkrs
687,2575563,55,0,0,2,1,3,2,cars>=wkrs
689,2050000,55,0,6000,0,3,7,1,nocars
692,2575559,55,0,0,0,1,3,2,nocars
693,3139121,55,0,46100,0,1,3,1,nocars
705,2932979,56,0,1500,0,1,3,0,nocars
723,618109,56,0,90200,1,-2,1,1,cars>=wkrs
726,3669139,56,0,33800,0,-3,4,0,nocars
729,136878,56,0,73600,1,-2,1,0,cars>=wkrs
731,3768473,56,0,3600,0,1,7,0,nocars
741,2929603,56,0,38500,1,1,3,0,cars>=wkrs
746,77710,56,0,21200,0,-2,1,0,nocars
750,3769922,56,0,34500,0,1,10,0,nocars
764,3768492,56,0,3600,0,6,7,0,nocars
773,2049878,56,0,46000,0,1,5,1,nocars
785,1653298,56,0,248000,1,1,2,1,cars>=wkrs
791,1653351,57,0,251500,1,1,2,1,cars>=wkrs
801,94892,57,0,41000,2,-2,1,0,cars>=wkrs
804,1599274,57,0,143500,1,1,2,1,cars>=wkrs
807,3630832,57,0,3600,1,1,4,0,cars>=wkrs
842,53122,57,0,72000,1,-2,1,0,cars>=wkrs
848,273659,57,0,8000,0,-2,1,1,nocars
849,2929660,57,0,44700,1,1,3,0,cars>=wkrs
852,2098974,57,0,65800,2,1,2,2,cars>=wkrs
868,1822154,57,0,156700,1,1,2,1,cars>=wkrs
873,504,57,0,3100,0,-2,1,0,nocars
882,1520191,57,0,86000,0,1,3,0,nocars
894,3975,57,0,6100,3,-2,1,0,cars>=wkrs
898,3769925,57,0,34500,0,1,10,0,nocars
902,1101082,59,0,42000,1,-2,1,1,cars>=wkrs
903,1653371,59,0,358000,1,1,2,1,cars>=wkrs
912,895453,59,0,58000,0,-2,1,1,nocars
913,3746634,59,0,94000,2,1,5,0,cars>=wkrs
920,1911296,59,0,180000,1,1,3,1,cars>=wkrs
927,3509137,59,0,94200,0,1,4,3,nocars
930,3306534,60,0,49420,2,1,4,2,cars>=wkrs
931,2676247,60,0,85800,2,1,3,2,cars>=wkrs
932,751435,60,0,43000,0,-2,1,1,nocars
934,218881,60,0,18200,0,1,6,0,nocars
935,3894228,60,0,201400,1,1,8,7,cars<wkrs
936,2947517,60,0,142000,1,1,3,0,cars>=wkrs
937,1301104,60,0,60900,0,1,2,0,nocars
938,512067,60,0,37500,0,-2,1,1,nocars
939,372596,60,0,31160,0,-2,1,1,nocars
940,273911,60,0,23000,0,-2,1,1,nocars
941,117475,60,0,61000,0,-2,1,0,nocars
942,632095,60,0,18650,1,-2,1,1,cars>=wkrs
950,409481,62,0,6400,1,-2,1,1,cars>=wkrs
955,518,62,0,23000,0,-2,1,0,nocars
956,2601863,62,0,167700,1,1,3,2,cars<wkrs
977,1501091,64,0,340180,0,1,3,0,nocars
985,274136,64,0,4000,0,-2,1,1,nocars
995,1610425,64,0,92000,1,1,2,1,cars>=wkrs
997,3217960,64,0,52500,0,-3,4,1,nocars
1004,2117816,65,0,104500,1,-3,2,2,cars<wkrs
1009,3086240,65,0,58000,2,1,4,0,cars>=wkrs
1016,2738627,65,0,93000,0,1,3,2,nocars
1022,2099034,65,0,47300,1,1,2,2,cars<wkrs
1030,2092966,65,0,39850,0,1,2,2,nocars
1032,1578374,65,0,11300,0,1,2,1,nocars
1033,2105961,66,0,41500,0,1,2,2,nocars
1034,2089229,66,0,2850,1,1,2,2,cars<wkrs
1035,1578380,66,0,20000,1,1,2,1,cars>=wkrs
1036,2217937,66,0,78000,2,1,2,2,cars>=wkrs
1037,2929724,66,0,38500,0,1,3,0,nocars
1038,964501,66,0,125000,0,-2,1,1,nocars
1039,1166104,66,0,145000,1,-2,1,1,cars>=wkrs
1040,596258,66,0,60030,1,-2,1,1,cars>=wkrs
1041,512558,66,0,37700,1,-2,1,1,cars>=wkrs
1045,11924,67,0,61750,2,-2,1,0,cars>=wkrs
1046,2603757,67,0,12600,1,1,3,2,cars<wkrs
1050,3039723,67,0,20804,4,1,4,0,cars>=wkrs
1051,9372,67,0,24000,0,-2,1,0,nocars
1054,2002991,68,0,42720,1,1,4,1,cars>=wkrs
1055,596267,68,0,52000,1,-2,1,1,cars>=wkrs
1056,15404,68,0,6000,0,-2,1,0,nocars
1058,11927,68,0,76400,1,-2,1,0,cars>=wkrs
1059,1875567,68,0,33600,0,-3,3,1,nocars
1060,186762,68,0,0,0,1,9,0,nocars
1061,1869967,68,0,22900,0,1,3,1,nocars
1062,31750,68,0,40000,0,-2,1,0,nocars
1063,2129799,68,0,42000,3,1,2,2,cars>=wkrs
1064,2100985,68,0,152000,2,1,2,2,cars>=wkrs
1065,3086329,68,0,58000,1,1,4,0,cars>=wkrs
1066,2639553,68,0,32000,0,1,3,2,nocars
1067,2120550,68,0,21180,1,1,2,2,cars<wkrs
1068,512586,68,0,36000,0,-2,1,1,nocars
1069,2603794,68,0,18500,0,1,3,2,nocars
1070,2093151,68,0,24150,1,1,2,2,cars<wkrs
1071,2274855,68,0,72000,1,1,2,2,cars<wkrs
1072,40797,68,0,53000,1,-2,1,0,cars>=wkrs
1073,632384,68,0,14600,0,-2,1,1,nocars
1074,186783,68,0,400,1,1,6,0,cars>=wkrs
1075,2500344,68,0,36300,2,1,2,2,cars>=wkrs
1076,2041,68,0,33000,0,-2,1,0,nocars
1078,2431825,70,0,92800,1,1,2,2,cars<wkrs
1080,512622,70,0,28600,0,-2,1,1,nocars
1083,2738705,70,0,213700,1,1,3,2,cars<wkrs
1085,2601915,70,0,80500,1,1,3,2,cars<wkrs
1086,2431818,70,0,107000,0,1,2,2,nocars
1088,1514507,71,0,44100,1,1,3,0,cars>=wkrs
1094,2157179,71,0,136170,1,1,2,2,cars<wkrs
1100,632444,71,0,8600,0,-2,1,1,nocars
1106,3086464,71,0,58000,2,1,4,0,cars>=wkrs
1108,2218087,71,0,391000,1,1,2,2,cars<wkrs
1109,1191983,71,0,39600,1,-2,1,1,cars>=wkrs
1110,2431922,71,0,336170,1,1,2,2,cars<wkrs
1112,752141,71,0,43640,1,-2,1,1,cars>=wkrs
1123,1822209,71,0,403000,1,1,2,1,cars>=wkrs
1130,322665,71,0,100000,1,-2,1,1,cars>=wkrs
1143,632420,71,0,20000,1,-2,1,1,cars>=wkrs
1147,3712975,74,0,88600,0,1,4,0,nocars
1150,3381808,74,0,35000,0,1,3,3,nocars
1151,3855252,74,0,16400,0,1,5,3,nocars
1152,94974,74,0,30000,1,-2,1,0,cars>=wkrs
1156,1875580,74,0,27600,1,1,3,1,cars>=wkrs
1158,3855250,74,0,21800,2,1,4,4,cars<wkrs
1159,3381798,74,0,35000,1,1,3,3,cars<wkrs
1161,1290981,74,0,5500,2,1,2,0,cars>=wkrs
1163,3936992,74,0,115000,1,1,14,3,cars<wkrs
1169,3844798,75,0,25300,0,1,6,3,nocars
1173,2633618,75,0,10000,2,1,3,2,cars>=wkrs
1178,373379,75,0,25000,2,-2,1,1,cars>=wkrs
1182,752389,75,0,43000,1,-2,1,1,cars>=wkrs
1183,3511894,75,0,20400,0,1,4,3,nocars
1188,2982153,75,0,72900,2,1,3,0,cars>=wkrs
1190,3350303,75,0,48100,1,1,3,3,cars<wkrs
1194,596463,76,0,47000,1,-2,1,1,cars>=wkrs
1195,274768,76,0,10000,1,-2,1,1,cars>=wkrs
1196,1822231,76,0,81500,1,1,2,1,cars>=wkrs
1197,3410256,76,0,182800,3,1,3,3,cars>=wkrs
1199,895934,76,0,53300,2,-2,1,1,cars>=wkrs
1200,618614,76,0,90000,1,-2,1,1,cars>=wkrs
1201,3705787,76,0,29500,0,-3,5,0,nocars
1202,15500,76,0,6000,1,-2,1,0,cars>=wkrs
1203,373443,76,0,26000,0,-2,1,1,nocars
1204,3850583,76,0,71200,1,1,4,4,cars<wkrs
1205,404272,76,0,91000,1,-2,1,1,cars>=wkrs
1206,2625342,77,0,46700,1,1,3,2,cars<wkrs
1209,632709,77,0,21400,1,-2,1,1,cars>=wkrs
1210,13148,77,0,120100,2,-2,1,0,cars>=wkrs
1211,1166118,77,0,88000,1,-2,1,1,cars>=wkrs
1212,3681920,77,0,7700,0,-3,5,0,nocars
1213,3936577,77,0,46000,2,1,9,5,cars<wkrs
1214,127015,77,0,87000,1,-2,1,0,cars>=wkrs
1215,1301233,77,0,60000,1,1,2,0,cars>=wkrs
1216,1865545,77,0,43300,2,1,3,1,cars>=wkrs
1217,274802,77,0,22000,0,-2,1,1,nocars
1218,31848,77,0,36200,2,-2,1,0,cars>=wkrs
1219,752492,77,0,39700,0,-2,1,1,nocars
1220,3099538,77,0,26700,1,1,4,0,cars>=wkrs
1221,1101138,77,0,43000,1,-2,1,1,cars>=wkrs
1222,1026681,77,0,21600,0,-2,1,1,nocars
1223,752469,77,0,32000,0,-2,1,1,nocars
1224,3215811,77,0,116000,2,-3,4,1,cars>=wkrs
1225,3277204,77,0,45700,1,1,3,2,cars<wkrs
1226,896046,78,0,76000,1,-2,1,1,cars>=wkrs
1227,186899,78,0,0,1,1,9,0,cars>=wkrs
1228,513181,78,0,31200,1,-2,1,1,cars>=wkrs
1229,31854,78,0,26100,0,-2,1,0,nocars
1230,1565709,78,0,5000,0,1,5,0,nocars
1231,513243,78,0,45000,2,-2,1,1,cars>=wkrs
1232,2738850,78,0,93000,2,1,3,2,cars>=wkrs
1233,409740,78,0,19100,1,-2,1,1,cars>=wkrs
1234,274840,78,0,0,1,-2,1,1,cars>=wkrs
1235,2601967,78,0,80500,0,1,3,2,nocars
1236,3279811,78,0,123800,1,1,3,2,cars<wkrs
1237,330757,78,0,22600,0,-2,1,1,nocars
1238,373653,78,0,43000,1,-2,1,1,cars>=wkrs
1239,373696,78,0,42100,1,-2,1,1,cars>=wkrs
1240,2431967,78,0,100000,2,1,2,2,cars>=wkrs
1241,964916,78,0,317000,1,-2,1,1,cars>=wkrs
1242,430911,78,0,15000,0,-2,1,1,nocars
1243,373594,78,0,26600,0,-2,1,1,nocars
1244,373582,78,0,30200,0,-2,1,1,nocars
1245,2218369,78,0,337000,1,-3,2,2,cars<wkrs
1246,2218382,78,0,166000,0,1,2,2,nocars
1247,397757,78,0,52000,1,-2,1,1,cars>=wkrs
1248,322729,78,0,80000,0,-2,1,1,nocars
1249,2157213,78,0,95000,2,-3,2,2,cars>=wkrs
1250,373551,78,0,30140,0,-2,1,1,nocars
1251,2603811,78,0,18500,0,1,3,2,nocars
1252,513157,78,0,32000,0,-2,1,1,nocars
1253,274842,78,0,12000,1,-2,1,1,cars>=wkrs
1254,1610488,78,0,330000,1,1,2,1,cars>=wkrs
1255,373726,78,0,44700,1,-2,1,1,cars>=wkrs
1256,1621705,78,0,43000,0,1,2,1,nocars
1257,404293,78,0,83000,0,-2,1,1,nocars
1258,2431980,78,0,108000,1,1,2,2,cars<wkrs
1259,2117928,78,0,149000,2,1,2,2,cars>=wkrs
1261,1589862,78,0,70000,0,1,2,1,nocars
1262,330824,78,0,20900,0,-2,1,1,nocars
1264,330745,78,0,21500,0,-2,1,1,nocars
1266,2099091,78,0,75400,1,1,2,2,cars<wkrs
1267,2099077,78,0,65800,1,1,2,2,cars<wkrs
1268,2117911,78,0,354500,1,1,2,2,cars<wkrs
1269,2117894,78,0,182500,2,-3,2,2,cars>=wkrs
1270,2274898,78,0,68960,1,-3,2,2,cars<wkrs
1271,373707,78,0,40000,0,-2,1,1,nocars
1272,752689,78,0,37000,1,-2,1,1,cars>=wkrs
1273,2738871,78,0,249000,1,1,3,2,cars<wkrs
1282,74018,81,0,143400,1,-2,1,0,cars>=wkrs
1283,513429,81,0,36000,1,-2,1,1,cars>=wkrs
1287,2676282,81,0,107000,1,1,3,2,cars<wkrs
1289,2579988,81,0,60000,2,1,3,2,cars>=wkrs
1294,752846,81,0,24000,1,-2,1,1,cars>=wkrs
1295,3215813,81,0,161200,3,1,4,1,cars>=wkrs
1300,3267778,81,0,54980,1,1,3,2,cars<wkrs
1301,218905,81,0,18200,1,1,6,0,cars>=wkrs
1305,2676284,82,0,166000,1,1,3,2,cars<wkrs
1315,3780645,83,0,47200,1,-3,5,1,cars>=wkrs
1320,596641,83,0,53000,1,-2,1,1,cars>=wkrs
1324,3592690,83,0,80300,2,1,4,3,cars<wkrs
1328,431386,83,0,18000,1,-2,1,1,cars>=wkrs
1330,3843123,83,0,52000,0,1,6,4,nocars
1337,3939267,83,0,79000,4,1,12,4,cars>=wkrs
1341,3404507,84,0,52300,1,1,3,3,cars<wkrs
1342,3550697,84,0,75500,1,1,4,3,cars<wkrs
1344,3404508,84,0,69000,1,1,3,3,cars<wkrs
1350,2738957,84,0,85500,2,1,3,2,cars>=wkrs
1357,218966,84,0,18200,2,1,6,0,cars>=wkrs
1361,2676313,85,0,100000,1,1,3,2,cars<wkrs
1364,1640917,85,0,73460,1,1,2,1,cars>=wkrs
1367,896276,85,0,50300,1,-2,1,1,cars>=wkrs
1370,2602031,85,0,138000,2,1,3,2,cars>=wkrs
1374,2218553,85,0,323300,1,-3,2,2,cars<wkrs
1375,3647330,85,0,0,0,1,4,0,nocars
1376,331619,85,0,23000,0,-2,1,1,nocars
1380,3846754,86,0,82400,1,1,4,4,cars<wkrs
1382,2299764,86,0,163000,0,1,2,2,nocars
1384,514108,86,0,29700,0,-2,1,1,nocars
1386,2218618,86,0,180500,2,1,2,2,cars>=wkrs
1387,2739009,86,0,138800,2,1,3,2,cars>=wkrs
1392,2432148,86,0,398000,2,1,2,2,cars>=wkrs
1394,3429905,86,0,106130,1,1,3,3,cars<wkrs
1395,2432180,86,0,179700,2,1,2,2,cars>=wkrs
1397,1301277,87,0,60900,0,1,2,0,nocars
1406,2602076,88,0,420500,1,1,3,2,cars<wkrs
1412,2739059,88,0,138800,1,1,3,2,cars<wkrs
1415,275466,88,0,1200,0,-2,1,1,nocars
1420,2299835,89,0,82000,0,1,2,2,nocars
1422,2602098,89,0,83830,1,1,3,2,cars<wkrs
1424,168731,89,0,3000,0,1,3,0,nocars
1425,3059837,89,0,25800,1,3,4,0,cars>=wkrs
1428,3829975,89,0,634400,1,1,5,2,cars<wkrs
1429,514580,89,0,40600,1,-2,1,1,cars>=wkrs
1430,431894,89,0,15000,0,-2,1,1,nocars
1433,3154935,89,0,60800,1,1,3,1,cars>=wkrs
1434,596847,89,0,45600,1,-2,1,1,cars>=wkrs
1437,374145,89,0,45200,1,-2,1,1,cars>=wkrs
1439,183873,89,0,145000,1,1,3,0,cars>=wkrs
1442,3059816,89,0,25800,2,1,4,0,cars>=wkrs
1443,3233941,89,0,317000,1,1,4,1,cars>=wkrs
1449,168787,89,0,3000,0,1,3,0,nocars
1457,1303923,90,0,101500,1,1,2,0,cars>=wkrs
1458,965478,90,0,115000,0,-2,1,1,nocars
1463,2299928,90,0,80290,1,1,2,2,cars<wkrs
1467,53173,90,0,62000,1,-2,1,0,cars>=wkrs
1471,753800,90,0,44660,0,-2,1,1,nocars
1472,1483468,90,0,61700,0,1,2,0,nocars
1473,2275070,90,0,72020,1,1,2,2,cars<wkrs
1474,3239361,90,0,84800,1,1,4,1,cars>=wkrs
1476,150159,90,0,6100,0,1,2,0,nocars
1478,432200,90,0,22000,0,-2,1,1,nocars
1479,432104,90,0,21000,0,-2,1,1,nocars
1482,275846,90,0,15600,0,-2,1,1,nocars
1483,2550838,90,0,119550,1,1,2,2,cars<wkrs
1488,2432295,90,0,79000,1,1,2,2,cars<wkrs
1490,3321758,92,0,59860,2,1,4,2,cars>=wkrs
1491,3627593,92,0,104800,2,1,6,3,cars<wkrs
1492,1610543,92,0,105060,1,1,2,1,cars>=wkrs
1495,2157849,92,0,171500,2,1,2,2,cars>=wkrs
1498,2739171,92,0,323520,2,1,3,2,cars>=wkrs
1500,182079,92,0,56200,0,1,3,0,nocars
1502,2962592,92,0,75000,0,1,3,0,nocars
1503,1223168,92,0,7200,1,1,4,1,cars>=wkrs
1506,1223189,92,0,7200,0,1,4,1,nocars
1507,3647470,92,0,0,0,1,4,0,nocars
1510,182085,92,0,60400,0,1,3,0,nocars
1512,183912,92,0,145000,1,1,3,0,cars>=wkrs
1513,2299968,92,0,230000,1,1,2,2,cars<wkrs
1516,3829983,92,0,91000,1,1,4,2,cars<wkrs
1522,1653724,92,0,141800,1,1,2,1,cars>=wkrs
1523,3233968,93,0,319000,1,1,4,1,cars>=wkrs
1529,3627692,93,0,104800,2,1,6,3,cars<wkrs
1533,276284,93,0,18000,2,-2,1,1,cars>=wkrs
1536,619124,93,0,152000,1,-2,1,1,cars>=wkrs
1537,3647511,93,0,0,0,1,4,0,nocars
1540,896560,93,0,67210,2,-2,1,1,cars>=wkrs
1542,3627647,93,0,104800,3,1,6,3,cars>=wkrs
1548,3627680,93,0,104800,4,1,6,3,cars>=wkrs
1549,2149787,93,0,53500,0,1,2,2,nocars
1557,2157950,93,0,105000,1,1,2,2,cars<wkrs
1572,432458,93,0,20000,0,-2,1,1,nocars
1573,304546,93,0,27000,2,-2,1,1,cars>=wkrs
1577,1501205,93,0,129000,2,1,3,0,cars>=wkrs
1580,374559,95,0,35000,1,-2,1,1,cars>=wkrs
1587,1058995,95,0,30000,0,-2,1,1,nocars
1591,1883715,95,0,71000,2,1,3,1,cars>=wkrs
1600,965731,95,0,95000,0,-2,1,1,nocars
1601,432845,95,0,1600,0,-2,1,1,nocars
1603,3361013,96,0,72600,2,1,3,3,cars<wkrs
1615,3086510,96,0,59000,1,1,4,0,cars>=wkrs
1616,2599159,96,0,49000,0,1,3,2,nocars
1622,3850598,96,0,69200,1,1,4,3,cars<wkrs
1629,3686292,96,0,43000,2,1,4,0,cars>=wkrs
1633,634050,97,0,21000,0,-2,1,1,nocars
1636,1558910,97,0,75000,2,1,4,0,cars>=wkrs
1637,332774,97,0,17000,1,-2,1,1,cars>=wkrs
1638,2854759,97,0,80100,0,1,4,2,nocars
1640,754560,97,0,34910,0,-2,1,1,nocars
1650,2900747,97,0,54500,0,1,5,2,nocars
1659,754626,97,0,40000,1,-2,1,1,cars>=wkrs
1661,3381855,97,0,38500,0,1,3,3,nocars
1665,3592848,98,0,81800,1,1,4,3,cars<wkrs
1690,2275235,98,0,64000,2,1,2,2,cars>=wkrs
1691,61107,98,0,36000,1,-2,1,0,cars>=wkrs
1694,3404544,99,0,75100,1,1,3,3,cars<wkrs
1697,1517816,99,0,47800,2,1,3,0,cars>=wkrs
1699,2242237,99,0,44000,1,1,2,2,cars<wkrs
1714,398016,99,0,49000,1,-2,1,1,cars>=wkrs
1716,2158102,99,0,121000,1,-3,2,2,cars<wkrs
1720,3139598,100,0,80500,0,1,3,1,nocars
1721,3846542,100,0,51500,0,1,4,4,nocars
1725,2116093,100,0,58400,1,1,2,2,cars<wkrs
1727,3378800,100,0,123000,2,1,3,3,cars<wkrs
1731,419288,100,0,34500,1,-2,1,1,cars>=wkrs
1738,1594864,101,0,33300,2,1,2,1,cars>=wkrs
1742,186942,101,0,0,1,1,9,0,cars>=wkrs
1753,2331594,103,0,40300,2,1,2,2,cars>=wkrs
1756,3041847,103,0,10500,0,1,4,0,nocars
1760,1858043,103,0,280,0,1,3,1,nocars
1761,1495297,103,0,6270,0,1,3,0,nocars
1768,187055,103,0,0,0,1,9,0,nocars
1771,305118,104,0,35000,2,-2,1,1,cars>=wkrs
1773,333419,104,0,18000,0,-2,1,1,nocars
1779,3260852,106,0,38200,1,1,3,2,cars<wkrs
1781,3041857,106,0,4800,2,1,4,0,cars>=wkrs
1788,3140700,106,0,21610,0,1,3,1,nocars
1797,3315775,109,0,40240,1,1,4,2,cars<wkrs
1800,2586783,109,0,39000,1,-3,3,2,cars<wkrs
1806,187187,109,0,3600,1,1,12,0,cars>=wkrs
1807,1291072,109,0,5500,1,-3,2,0,cars>=wkrs
1810,2797586,109,0,10800,1,1,4,2,cars<wkrs
1811,3837496,109,0,48300,1,1,9,2,cars<wkrs
1813,1611785,110,0,18000,1,1,2,1,cars>=wkrs
1814,333495,110,0,10600,0,-2,1,1,nocars
1819,1611795,110,0,12480,4,1,2,1,cars>=wkrs
1821,2797597,110,0,10800,0,6,4,2,nocars
1824,3365897,110,0,37000,2,1,3,3,cars<wkrs
1825,1509322,110,0,23000,0,1,3,0,nocars
1826,2570739,110,0,7200,1,1,3,2,cars<wkrs
1832,2639761,111,0,41000,2,1,3,2,cars>=wkrs
1833,187277,111,0,3600,0,1,12,0,nocars
1834,1574624,111,0,15000,0,1,2,1,nocars
1836,3532673,111,0,26600,1,-3,4,3,cars<wkrs
1837,410176,111,0,22700,2,-2,1,1,cars>=wkrs
1842,2093486,111,0,40800,2,1,2,2,cars>=wkrs
1845,3345302,112,0,9600,0,1,3,3,nocars
1848,1216946,112,0,5800,0,1,4,1,nocars
1851,2050016,117,0,9100,2,1,6,1,cars>=wkrs
1852,2162892,117,0,19000,0,1,2,2,nocars
1853,2608814,117,0,39000,1,1,3,2,cars<wkrs
1856,966269,117,0,338400,1,-2,1,1,cars>=wkrs
1857,3345311,117,0,10000,3,1,3,3,cars>=wkrs
1858,897210,117,0,66000,1,-2,1,1,cars>=wkrs
1860,1574638,118,0,11800,1,1,2,1,cars>=wkrs
1861,516678,118,0,27000,2,-2,1,1,cars>=wkrs
1869,966328,119,0,84000,1,-2,1,1,cars>=wkrs
1870,3404559,119,0,46000,0,1,3,3,nocars
1876,2816595,120,0,25000,2,1,4,2,cars>=wkrs
1878,1611892,120,0,20100,1,1,2,1,cars>=wkrs
1879,433763,120,0,6400,1,-2,1,1,cars>=wkrs
1880,1875729,120,0,35000,1,1,3,1,cars>=wkrs
1884,2106223,120,0,31400,1,1,2,2,cars<wkrs
1886,48661,121,0,17700,0,-2,1,0,nocars
1888,1611907,121,0,13400,0,1,2,1,nocars
1889,2608874,121,0,39000,2,1,3,2,cars>=wkrs
1892,2106283,121,0,35300,0,1,2,2,nocars
