,hh_id,tour_purpose,orig_purpose,dest_purpose,orig_maz,dest_maz,trip_mode,num_participants,tour_mode,board_tap,alight_tap,orig_taz,dest_taz
481,2088570,maintenance,maintenance,Home,3264,13593,5,5,5,0,0,731,1614
482,3726874,discretionary,Home,discretionary,14086,3207,5,3,5,0,0,1640,721
483,3726874,discretionary,discretionary,Home,3207,14086,7,3,5,0,0,721,1640
486,1494521,maintenance,Home,maintenance,14150,3569,3,2,3,0,0,1644,807
487,1494521,maintenance,maintenance,Home,3569,14150,3,2,3,0,0,807,1644
488,2979691,discretionary,Home,discretionary,14299,3411,5,3,5,0,0,1653,768
489,2979691,discretionary,discretionary,Home,3411,14299,5,3,5,0,0,768,1653
490,2899277,maintenance,Home,maintenance,14790,3706,5,4,5,0,0,1674,833
491,2899277,maintenance,maintenance,Home,3706,14790,5,4,5,0,0,833,1674
498,1934615,maintenance,Home,maintenance,16595,15384,3,2,3,0,0,1720,1700
499,1934615,maintenance,maintenance,Home,15384,16595,3,2,3,0,0,1700,1720
500,1247082,discretionary,Home,discretionary,16595,2834,3,2,3,0,0,1720,669
501,1247082,discretionary,discretionary,Home,2834,16595,3,2,3,0,0,669,1720
510,3579334,discretionary,Home,discretionary,16627,16592,5,4,5,0,0,1752,1717
511,3579334,discretionary,discretionary,Home,16592,16627,5,4,5,0,0,1717,1752
514,260855,maintenance,Home,maintenance,16630,14146,5,2,5,0,0,1755,1643
515,260855,maintenance,maintenance,Home,14146,16630,5,2,5,0,0,1643,1755
518,2874984,discretionary,Home,discretionary,16635,3610,3,2,3,0,0,1760,812
519,2874984,discretionary,discretionary,Home,3610,16635,3,2,3,0,0,812,1760
520,3942051,maintenance,Home,maintenance,16648,16720,5,6,5,0,0,1773,1845
521,3942051,maintenance,maintenance,Home,16720,16648,5,6,5,0,0,1845,1773
540,1488228,shop,Home,shop,16714,740,3,2,3,0,0,1839,247
541,1488228,shop,shop,Home,740,16714,3,2,3,0,0,247,1839
542,3942071,maintenance,Home,maintenance,16718,16725,5,9,5,0,0,1843,1850
543,3942071,maintenance,maintenance,Home,16725,16718,5,9,5,0,0,1850,1843
544,2072987,shop,Home,shop,16719,16720,5,4,5,0,0,1844,1845
545,2072987,shop,shop,Home,16720,16719,5,4,5,0,0,1845,1844
548,3759278,discretionary,Home,discretionary,16727,16717,5,4,5,0,0,1852,1842
549,3759278,discretionary,discretionary,Home,16717,16727,5,4,5,0,0,1842,1852
550,3066142,maintenance,Home,maintenance,16728,16739,5,4,5,0,0,1853,1864
551,3066142,maintenance,maintenance,Home,16739,16728,5,4,5,0,0,1864,1853
560,2892401,maintenance,Home,maintenance,16746,16746,5,6,5,0,0,1871,1871
561,2892401,maintenance,maintenance,Home,16746,16746,5,6,5,0,0,1871,1871
562,3764063,discretionary,Home,discretionary,16746,16728,5,4,5,0,0,1871,1853
563,3764063,discretionary,discretionary,Home,16728,16746,5,4,5,0,0,1853,1871
566,2845472,discretionary,Home,discretionary,16756,16728,5,3,5,0,0,1881,1853
567,2845472,discretionary,discretionary,Home,16728,16756,5,3,5,0,0,1853,1881
568,3607705,discretionary,Home,discretionary,16756,16720,3,2,3,0,0,1881,1845
569,3607705,discretionary,discretionary,Home,16720,16756,3,2,3,0,0,1845,1881
574,3218848,eatingout,Home,eatingout,16766,16736,5,2,5,0,0,1891,1861
575,3218848,eatingout,eatingout,Home,16736,16766,5,2,5,0,0,1861,1891
576,2767730,maintenance,Home,maintenance,16767,16768,3,2,3,0,0,1892,1893
577,2767730,maintenance,maintenance,Home,16768,16767,3,2,3,0,0,1893,1892
578,3509564,discretionary,Home,discretionary,16770,16770,5,4,5,0,0,1895,1895
579,3509564,discretionary,discretionary,Home,16770,16770,5,4,5,0,0,1895,1895
580,2385158,discretionary,Home,discretionary,16777,16777,3,2,3,0,0,1902,1902
581,2385158,discretionary,discretionary,Home,16777,16777,3,2,3,0,0,1902,1902
